task,window,seed,model,family,n_train,cost_bps,mean_active,sharpe,maxdd,hit
T-book,0,0,LIN,classical,400,0.0,0.009359804444903324,13.523559369731512,-0.03161347735339348,0.8095238095238095
T-book,0,0,LIN,classical,400,5.0,0.009148164233263116,13.199341158586167,-0.03236347735339351,0.7936507936507936
T-book,0,0,RBF,classical,400,0.0,-0.00017345976708273752,-0.2360805785762113,-0.15949584492779434,0.6031746031746031
T-book,0,0,RBF,classical,400,5.0,-0.00044197828560125563,-0.6015685913876735,-0.16232917826112767,0.5873015873015873
T-book,0,0,QK,quantum,400,0.0,-0.004229467803938728,-6.3387044700680075,-0.2807619571052504,0.4126984126984127
T-book,0,0,QK,quantum,400,5.0,-0.004495340819811744,-6.742620205037016,-0.29467862377191706,0.3968253968253968
T-book,0,0,VQC,quantum,400,0.0,0.005910062541688909,8.733768697525989,-0.03493677169007442,0.746031746031746
T-book,0,0,VQC,quantum,400,5.0,0.005646835028461395,8.34636245701473,-0.035520105023407744,0.7301587301587301
T-book,0,1,LIN,classical,400,0.0,0.00897386994298807,13.501007244362636,-0.04659157567918698,0.8253968253968254
T-book,0,1,LIN,classical,400,5.0,0.00889318211230024,13.377450994500535,-0.04675824234585363,0.8095238095238095
T-book,0,1,RBF,classical,400,0.0,0.0011411268513005623,1.5009415028603597,-0.19984936324471425,0.6349206349206349
T-book,0,1,RBF,classical,400,5.0,0.0009069998671735779,1.1913622249245963,-0.2028493632447143,0.6349206349206349
T-book,0,1,QK,quantum,400,0.0,-0.0006634637969629103,-0.9019697564732383,-0.20463907572081633,0.5873015873015873
T-book,0,1,QK,quantum,400,5.0,-0.0008896542731533862,-1.208581425858112,-0.2078890757208163,0.5873015873015873
T-book,0,1,VQC,quantum,400,0.0,0.004730610229693864,6.123961556730913,-0.11131122009704364,0.7142857142857143
T-book,0,1,VQC,quantum,400,5.0,0.00451632451540815,5.8569707877533395,-0.11189455343037699,0.6984126984126984
T-book,0,2,LIN,classical,400,0.0,0.008552705104305494,12.332001261628635,-0.03610705692328303,0.8095238095238095
T-book,0,2,LIN,classical,400,5.0,0.008302705104305495,11.963103490119444,-0.036857056923283005,0.7777777777777778
T-book,0,2,RBF,classical,400,0.0,-0.0018441735630856852,-2.8209977275803357,-0.16629805976862433,0.5238095238095238
T-book,0,2,RBF,classical,400,5.0,-0.0021219513408634633,-3.2434103865837036,-0.169214726435291,0.5079365079365079
T-book,0,2,QK,quantum,400,0.0,-0.004414146584611589,-6.328753111693025,-0.283712501166611,0.3492063492063492
T-book,0,2,QK,quantum,400,5.0,-0.004703829124294129,-6.7654446726177,-0.3007958344999444,0.31746031746031744
T-book,0,2,VQC,quantum,400,0.0,0.004465976216484397,7.026151541411259,-0.0432395588677046,0.6825396825396826
T-book,0,2,VQC,quantum,400,5.0,0.004217298967807147,6.632446664895382,-0.04832289220103792,0.6825396825396826
T-book,1,0,LIN,classical,400,0.0,0.0032528143284725284,7.064084478887611,-0.04441048059893267,0.6666666666666666
T-book,1,0,LIN,classical,400,5.0,0.003094084169742368,6.744634010131349,-0.045327147265599346,0.6666666666666666
T-book,1,0,RBF,classical,400,0.0,-2.7120073036611638e-05,-0.060870531845300294,-0.09778753010297307,0.42857142857142855
T-book,1,0,RBF,classical,400,5.0,-0.0003101888561053945,-0.6987288696512902,-0.10520419676963973,0.3968253968253968
T-book,1,0,QK,quantum,400,0.0,-0.0020876332244984,-5.5328837119366066,-0.1429587966953486,0.3492063492063492
T-book,1,0,QK,quantum,400,5.0,-0.002382606769471945,-6.339000758685767,-0.15587546336201527,0.31746031746031744
T-book,1,0,VQC,quantum,400,0.0,0.0020870099726706948,4.1328639281540855,-0.06609958788212264,0.5555555555555556
T-book,1,0,VQC,quantum,400,5.0,0.0018330417187024405,3.641168154908821,-0.06784958788212264,0.5555555555555556
T-book,1,1,LIN,classical,400,0.0,0.0029079531511293174,5.220623742576069,-0.1183986980066522,0.5396825396825397
T-book,1,1,LIN,classical,400,5.0,0.0026526621458383116,4.763109516676115,-0.12473203133998557,0.5238095238095238
T-book,1,1,RBF,classical,400,0.0,0.0004765792403891404,1.0975101536864618,-0.10675110942940913,0.49206349206349204
T-book,1,1,RBF,classical,400,5.0,0.00017896019277009265,0.41157590911420194,-0.11521175493406044,0.47619047619047616
T-book,1,1,QK,quantum,400,0.0,-0.0024214687417694935,-5.908608263991648,-0.1371990677019497,0.36507936507936506
T-book,1,1,QK,quantum,400,5.0,-0.00270850577880653,-6.618651882483711,-0.1541631660726487,0.36507936507936506
T-book,1,1,VQC,quantum,400,0.0,0.0033024156706342425,7.230829880670491,-0.06764924190976554,0.7142857142857143
T-book,1,1,VQC,quantum,400,5.0,0.0030709341891527607,6.748558674279451,-0.06948257524309887,0.7142857142857143
T-book,1,2,LIN,classical,400,0.0,0.0035689442207379744,8.25585334147399,-0.022448582479906803,0.6190476190476191
T-book,1,2,LIN,classical,400,5.0,0.003297780199573953,7.642513512336423,-0.025781915813240158,0.6190476190476191
T-book,1,2,RBF,classical,400,0.0,-0.003334215206032201,-9.962211089014321,-0.1927287324515079,0.2857142857142857
T-book,1,2,RBF,classical,400,5.0,-0.003654321026138021,-10.929377474914054,-0.21179089161570508,0.25396825396825395
T-book,1,2,QK,quantum,400,0.0,-0.004618889523179016,-14.050342967079159,-0.28294166205212706,0.14285714285714285
T-book,1,2,QK,quantum,400,5.0,-0.004907249311538806,-14.942470852277216,-0.30060832871879384,0.14285714285714285
T-book,1,2,VQC,quantum,400,0.0,0.0015678256156706244,4.300215136631773,-0.037410673239574366,0.6666666666666666
T-book,1,2,VQC,quantum,400,5.0,0.0012490425468875555,3.4303780421582637,-0.04112231225283327,0.6190476190476191
T-book,2,0,LIN,classical,400,0.0,0.0039971785055527165,9.543019569785427,-0.03858388912155633,0.7142857142857143
T-book,2,0,LIN,classical,400,5.0,0.003711464219838431,8.864010302940324,-0.041250555788222926,0.7142857142857143
T-book,2,0,RBF,classical,400,0.0,0.00212783761418135,6.105897904670183,-0.03696931816331718,0.6984126984126984
T-book,2,0,RBF,classical,400,5.0,0.0017945042808480162,5.12867903384806,-0.04021931816331718,0.6984126984126984
T-book,2,0,QK,quantum,400,0.0,0.00038469570667915844,1.2063992358500615,-0.05178950025049434,0.5238095238095238
T-book,2,0,QK,quantum,400,5.0,7.649464847810008e-05,0.23894278989871506,-0.05537283358382767,0.5079365079365079
T-book,2,0,VQC,quantum,400,0.0,0.0013363786081824318,3.5580106726652208,-0.032617178122157864,0.5396825396825397
