task,window,seed,model,family,n_train,reference,auc,brier,acc,auc_calm,auc_stress,wall_s
T-class,0,0,LIN,classical,150,False,0.7783979527098793,0.19051322385093944,0.6798941798941799,0.8162830349531118,0.7841008018327605,0.00515437126159668
T-class,0,0,RBF,classical,150,False,0.7572086425297434,0.20158847784722245,0.6732804232804233,0.7802642796248934,0.7624589537991598,0.0048863887786865234
T-class,0,0,QK,quantum,150,False,0.670202376624395,0.22709883101044556,0.6574074074074074,0.6548380221653879,0.6739671630393279,0.024923324584960938
T-class,0,0,VQC,quantum,150,False,0.7676981530192539,0.19443257769376454,0.7037037037037037,0.7824666098323386,0.7712103856433754,0.8867647647857666
T-class,0,0,LIN,classical,400,False,0.7805863860909732,0.1894768911356917,0.6706349206349206,0.8346831486217676,0.7847117220313097,0.003713369369506836
T-class,0,0,RBF,classical,400,False,0.7501871217467546,0.20388049614819226,0.671957671957672,0.7891091219096336,0.7452920962199312,0.013947486877441406
T-class,0,0,QK,quantum,400,False,0.6895169051132355,0.22407394640589262,0.6164021164021164,0.7298238135834043,0.6704161893852616,0.08267641067504883
T-class,0,0,VQC,quantum,400,False,0.7588873919149148,0.1999179045448832,0.66005291005291,0.7978118783745383,0.7587017945780832,0.8830888271331787
T-class,0,0,LIN,classical,full,True,0.7784050811573747,0.18999431215958504,0.6798941798941799,0.8166382495026996,0.7841008018327605,0.008375883102416992
T-class,0,0,RBF,classical,full,True,0.7583670152477493,0.20113272976747604,0.6746031746031746,0.7890736004546747,0.757930507827415,0.097869873046875
T-class,0,1,LIN,classical,150,False,0.7716686982742029,0.1948358457341708,0.6851851851851852,0.8089656152315998,0.7742497136311569,0.0252532958984375
T-class,0,1,RBF,classical,150,False,0.7613894769858074,0.19892629793957398,0.6746031746031746,0.787972435350952,0.7657502863688431,0.014468669891357422
T-class,0,1,QK,quantum,150,False,0.6789917523862479,0.22551796157288903,0.6428571428571429,0.6813725490196079,0.6709125620465826,0.037595272064208984
T-class,0,1,VQC,quantum,150,False,0.7643834249338837,0.1975016884646128,0.6904761904761905,0.7943307757885762,0.7659411989308896,0.8949475288391113
T-class,0,1,LIN,classical,400,False,0.7744986919298846,0.19227325115330196,0.6851851851851852,0.7994458653026427,0.784299350897289,0.003702402114868164
T-class,0,1,RBF,classical,400,False,0.7714405879543494,0.19509457294637783,0.6865079365079365,0.8138675760159136,0.7744482626956855,0.014966011047363281
T-class,0,1,QK,quantum,400,False,0.7160097802299638,0.21340108981694697,0.6706349206349206,0.7559676044330775,0.6989614356624665,0.0804133415222168
T-class,0,1,VQC,quantum,400,False,0.7719110654890472,0.19171724773563167,0.6891534391534392,0.7772804774083546,0.7842840778923253,0.8643417358398438
T-class,0,1,LIN,classical,full,True,0.7784050811573747,0.18999431215958504,0.6798941798941799,0.8166382495026996,0.7841008018327605,0.007891416549682617
T-class,0,1,RBF,classical,full,True,0.762572799270047,0.19864069124859493,0.6785714285714286,0.7914890593918728,0.7610385643375335,0.0873565673828125
T-class,0,2,LIN,classical,150,False,0.7770578045807404,0.19241413299256516,0.6865079365079365,0.8267973856209151,0.7794730813287514,0.0033330917358398438
T-class,0,2,RBF,classical,150,False,0.7509142233912877,0.2031531699669407,0.6759259259259259,0.7978829212844559,0.744581901489118,0.006204366683959961
T-class,0,2,QK,quantum,150,False,0.6574923547400611,0.23612915735173734,0.6441798941798942,0.7582409775504404,0.6084154257350134,0.023972749710083008
T-class,0,2,VQC,quantum,150,False,0.7585594833301255,0.20432094390452102,0.6838624338624338,0.8115942028985507,0.752012218403971,0.8807342052459717
T-class,0,2,LIN,classical,400,False,0.774420279007435,0.19198774712270592,0.6812169312169312,0.8107416879795397,0.777258495609011,0.0037260055541992188
T-class,0,2,RBF,classical,400,False,0.7406884654591077,0.205816785465036,0.671957671957672,0.7795538505257176,0.7367086674303169,0.01233673095703125
T-class,0,2,QK,quantum,400,False,0.6808308918400662,0.22473481092844597,0.6653439153439153,0.7406578573458369,0.6496449026345934,0.07929587364196777
T-class,0,2,VQC,quantum,400,False,0.746854572542646,0.20463665477099974,0.6746031746031746,0.7861608411480534,0.7440091638029782,0.857532262802124
T-class,0,2,LIN,classical,full,True,0.7784050811573747,0.18999431215958504,0.6798941798941799,0.8166382495026996,0.7841008018327605,0.007647037506103516
T-class,0,2,RBF,classical,full,True,0.7716259275892303,0.1958604169900154,0.6825396825396826,0.8069764137539073,0.7799465444826269,0.08652114868164062
T-class,1,0,LIN,classical,150,False,0.7019494096857994,0.2240803195691671,0.6772486772486772,0.6720984671147021,0.5864432597105865,0.011780261993408203
T-class,1,0,RBF,classical,150,False,0.7139422569221996,0.2129219972705025,0.6984126984126984,0.7118024616778675,0.4948591012947448,0.005949974060058594
T-class,1,0,QK,quantum,150,False,0.7156917271530453,0.21566088841427894,0.7063492063492064,0.7131012610435701,0.43116907844630614,0.027055978775024414
T-class,1,0,VQC,quantum,150,False,0.7128334377618045,0.2194646345789934,0.6944444444444444,0.7021067733897154,0.5508377760853008,0.8652534484863281
T-class,1,0,LIN,classical,400,False,0.7163253381018424,0.21725871369466548,0.708994708994709,0.700974099524277,0.5932977913175932,0.003641843795776367
