task,window,seed,model,family,n_train,reference,ic_spearman,ic_pearson,rmse,wall_s
T-reg,0,0,LIN,classical,150,False,0.41971904954924366,0.4656414697697595,0.04493075344942632,0.0014507770538330078
T-reg,0,0,RBF,classical,150,False,0.37363646576380705,0.29755801551127115,0.04811089476541126,0.0055654048919677734
T-reg,0,0,QK,quantum,150,False,0.17831306696905483,0.14604938169502998,0.04972872555872026,0.025087833404541016
T-reg,0,0,VQC,quantum,150,False,0.273838969714113,0.23156387343809806,0.04927635220108513,0.8385608196258545
T-reg,0,0,LIN,classical,400,False,0.4076672386434693,0.4606495591652654,0.04495320353900011,0.0007326602935791016
T-reg,0,0,RBF,classical,400,False,0.3500313622143431,0.3251649939595304,0.047538359024180736,0.11928772926330566
T-reg,0,0,QK,quantum,400,False,0.22724731407664212,0.25215085882485905,0.04862710126133185,0.16165566444396973
T-reg,0,0,VQC,quantum,400,False,0.32105717532331823,0.33375903384298833,0.04736508544593198,0.8977282047271729
T-reg,0,0,LIN,classical,full,True,0.4196892495439391,0.4667464544738285,0.044803331374932996,0.0
T-reg,0,0,RBF,classical,full,True,0.4143130564154649,0.36130116139481117,0.04694425012930573,0.0
T-reg,0,1,LIN,classical,150,False,0.4056723879621865,0.4373261376180217,0.04526425122505504,0.0007472038269042969
T-reg,0,1,RBF,classical,150,False,0.3738936400873115,0.3216335480827845,0.04763414989919974,0.002031087875366211
T-reg,0,1,QK,quantum,150,False,0.24945623322100705,0.24501544214545343,0.04873684117582396,0.08583688735961914
T-reg,0,1,VQC,quantum,150,False,0.3283775619013181,0.3386507008577619,0.047423404693987994,0.9066298007965088
T-reg,0,1,LIN,classical,400,False,0.4280306681769409,0.48761320323605833,0.044175050775561824,0.0007336139678955078
T-reg,0,1,RBF,classical,400,False,0.41320409629262106,0.36633907629075996,0.04681850594933598,0.00873875617980957
T-reg,0,1,QK,quantum,400,False,0.29304553138089146,0.24983576324284235,0.0486574926801041,0.15408873558044434
T-reg,0,1,VQC,quantum,400,False,0.3327045615531885,0.3940879133966736,0.046317543655976796,0.8492581844329834
T-reg,0,1,LIN,classical,full,True,0.4196892495439391,0.4667464544738285,0.044803331374932996,0.0
T-reg,0,1,RBF,classical,full,True,0.40807108009466564,0.3651805760395717,0.046860387309508054,0.0
T-reg,0,2,LIN,classical,150,False,0.41529878948934645,0.4900720528072384,0.04417656733651754,0.0007531642913818359
T-reg,0,2,RBF,classical,150,False,0.365874911353316,0.345043808414199,0.04756997756062645,0.0020258426666259766
T-reg,0,2,QK,quantum,150,False,0.17572327154067555,0.15586608874164257,0.049669256027619006,0.11450076103210449
T-reg,0,2,VQC,quantum,150,False,0.08127555687197704,0.23083848035206836,0.04912173562067418,0.8451080322265625
T-reg,0,2,LIN,classical,400,False,0.42008886955915575,0.48264413042137067,0.04448565493606536,0.0007421970367431641
T-reg,0,2,RBF,classical,400,False,0.4140161394940192,0.3864538093558172,0.04677535560870725,0.011253595352172852
T-reg,0,2,QK,quantum,400,False,0.2512344575822753,0.2594438583245771,0.04856844351278873,0.1550765037536621
T-reg,0,2,VQC,quantum,400,False,0.4090808364719849,0.4302022488125104,0.04549563837704733,0.8417258262634277
T-reg,0,2,LIN,classical,full,True,0.4196892495439391,0.4667464544738285,0.044803331374932996,0.0
T-reg,0,2,RBF,classical,full,True,0.41301274304327484,0.3712686660564789,0.046726169349568886,0.0
T-reg,1,0,LIN,classical,150,False,0.1679537741651173,0.21898855022887823,0.034462791305231326,0.0007655620574951172
T-reg,1,0,RBF,classical,150,False,0.1880289518299439,0.21910208255383282,0.03271924025226204,0.0021622180938720703
T-reg,1,0,QK,quantum,150,False,0.12857691366094176,0.14177616183589548,0.03333836042631322,0.085662841796875
T-reg,1,0,VQC,quantum,150,False,0.21840726609113495,0.25352469268151395,0.03352015412514484,0.9059069156646729
T-reg,1,0,LIN,classical,400,False,0.17274038265928526,0.18483508542738109,0.03601193688300919,0.0007989406585693359
T-reg,1,0,RBF,classical,400,False,0.17009870800452306,0.23288856124744248,0.0327783372314841,0.11581277847290039
T-reg,1,0,QK,quantum,400,False,0.1592736408399491,0.15765996940402258,0.03365798824213115,0.1538076400756836
T-reg,1,0,VQC,quantum,400,False,0.052320227579835475,0.09169372593393446,0.037171011592894196,0.9120802879333496
T-reg,1,0,LIN,classical,full,True,0.16994254264587666,0.2148484910595989,0.03357867195592768,0.0
T-reg,1,0,RBF,classical,full,True,0.1570089515272225,0.21674015189412812,0.03315115765670347,0.0
T-reg,1,1,LIN,classical,150,False,0.1366102785578408,0.21457313607578213,0.03368576504380884,0.0007030963897705078
T-reg,1,1,RBF,classical,150,False,0.14263004626499426,0.18355112501787377,0.033054127682784394,0.006211757659912109
T-reg,1,1,QK,quantum,150,False,0.07769822315038269,0.11637511588529062,0.033464095395100764,0.12662220001220703
T-reg,1,1,VQC,quantum,150,False,0.08374990158083057,0.14852455084097255,0.033529202026576936,0.880699634552002
T-reg,1,1,LIN,classical,400,False,0.1759779185571132,0.196486895228735,0.035685431787760596,0.001363515853881836
T-reg,1,1,RBF,classical,400,False,0.22097337148733823,0.24176187054560627,0.03281739829207376,0.007214069366455078
T-reg,1,1,QK,quantum,400,False,0.2031115593609579,0.243028599205428,0.032688794574588155,0.15658283233642578
